feature,nonnull,n
phys_qtaim_pair_H_C_H_mean,0,5649
phys_qtaim_pair_H_C_H_min,0,5649
phys_qtaim_pair_H_C_H_p05,0,5649
phys_qtaim_pair_H_C_H_p50,0,5649
phys_qtaim_pair_H_C_H_p95,0,5649
phys_qtaim_pair_H_C_H_std,0,5649
phys_qtaim_pair_H_C_ellipticity_max,0,5649
phys_qtaim_pair_H_C_ellipticity_mean,0,5649
phys_qtaim_pair_H_C_ellipticity_min,0,5649
phys_qtaim_pair_H_C_ellipticity_p05,0,5649
phys_qtaim_pair_H_C_ellipticity_p50,0,5649
phys_qtaim_pair_H_C_ellipticity_p95,0,5649
phys_qtaim_pair_H_C_ellipticity_std,0,5649
phys_qtaim_pair_H_C_laplacian_max,0,5649
phys_qtaim_pair_H_C_laplacian_mean,0,5649
phys_qtaim_pair_H_C_laplacian_min,0,5649
phys_qtaim_pair_H_C_laplacian_p05,0,5649
phys_qtaim_pair_H_C_laplacian_p50,0,5649
phys_qtaim_pair_H_C_laplacian_p95,0,5649
phys_qtaim_pair_H_C_laplacian_std,0,5649
phys_qtaim_pair_H_C_rho_max,0,5649
phys_qtaim_pair_H_C_rho_mean,0,5649
phys_qtaim_pair_H_C_rho_min,0,5649
phys_qtaim_pair_H_C_rho_p05,0,5649
phys_qtaim_pair_H_C_rho_p50,0,5649
phys_qtaim_pair_H_C_rho_p95,0,5649
phys_qtaim_pair_H_C_rho_std,0,5649
